Username,Comment
rizal.ddd,singkat saja berapa TON yang lewat
adongaming994,mau berak pun payah gada air
bang.naga.batam,"KOMPENSASI BOSS,
masyarakat telat bayar, listrik langsung diputus kok."
opapie,"Gamau maafin , ak keringatan pas tidur bdmood"
its.hennymarlina,tapi waktu mati lampu malam tadi langitnya cantik loh
4zry_lia,anak wifi apa kabar 😭
monasitumorang3,"klo d Jepang, pejabat seperti ini sdh mengundurkan diri"
mhadiirawan,kalo ada pemadaman listrik. seharusnya masyarakat mendapatkan kompensasi tagihan listrik.
andremanik001,Diskon listrik sebulan lah bujang sebagai kompensasi bujang
f1rg4_,[Stiker] brp banyak barang yg masuk pak?
yogie2106,"mikir pake otak
es creamku jadi air semua 4 freezeeer"
user63856286815757,kami pengguna listrik minta kompensasi .km telat bayar d putusin..
argitariswan178,"cuman minta maaf aja ni lek, gak ada makan"" gitu"
kholimahsrynanda,"nggak jadi Iclik pak , panas 😏"
sinopwar,Ngomong nya bisa agak cepat gk pak soal nya masih banyak yg mau di skroll
ayura2313,matane 2jam di tmpt ku bangkinang riau 11jam cok
yunita77.7,"Tidak kumaafkan, masa jm 7 pagi baru hidup😭"
cw0k_redfl4g,tanpa kita sadarin cahaya nya lagi berkumpul di sebelah bapak itu
sevendreamers,Ganti rugi anjir merugikan bgt listrik mati hampir 7 jam
nightfurryblack,"maaf????
kami kalo telat bayar listrik boleh g minta maaf?"
ufaataa,gara² kau ini aku gak bisa sleepcall
agus14223119,Singkat padat pak brp ton yg msk kluar tadi mlm selama lampu pak mati kn.
feber.simbolon,alasan gk masuk diakal..
mir_waa,eh katanya nanti mati lampu lagi
ummisilalahi10,Pakkkkkkk tanjung morawa belum hidup saya mau lamarannnn😭😭😭😭😭
gnora___,Gilak dr jam 7 malam sampek 06.40 pagi baru hiduppp
lestarisiregarr_,guyss listrik klian mati lagi gaa???
goselamat,"😁sepertinya ngarang, mana mungkin serentak, tiap daerah ada pembangkitnya, masing2"
sc_dmynt,"GAK MAU MAAFIN, matinya waktu aku baru pasang AC jadi gak bisa ngerasin day one tidur pake AC 😭"
kay_kaykay50,"gamau maapin, aku tidur di lantai + keringatan."
_aurelhanna,2 hari ya bujang
driverbaik45,"Kami di kota Binjai, sampai sekarang, Sabtu pukul 13.00 listrik belum nyala
di Jepang pimpinannya bakal mundur kalau ada kejadian seperti ini."
vino_manaf_abraham,"Gara2 mati lampu, gue di putusin 😂😭 sat"
aa.chann3,Di balik mati lampu semalam ada bulan yang sangat syahdu
sophan227,"enak bener cuma minta maaf, dari jam 18.44 sampai jam 06.00 tanpa listrik tanpa komunikasi, cerita pln rugi aja tiap hari kami dengar, giliran pelayanan nol besar"
kampunkk8,anak wifi apa kabar?
riodanugrahalubis,[Stiker] Gara” bapak kami gak bisa main epep
junihutapea13,"pemadam 3-5 jam masih maklum pak
ini jam 6 sore sampai jam 7 pagi😳
kayak hidup di jaman batu tau pak"
es_0yahh,"ngk nyampe sehari aja udah kaget,gmna kami yg di Plosok hampir tiap hari 🫡🙂‍↔️"
eka.sulastri187,"GK bisa maafin stok asi ku terbuang,aku dapetin asi itu susah payah 😭"
dewdewi8989,"woiii sampai sekarang masih mati lampu...medan kota dan medan area masih banyak lagi....tempat boby udah hidup lampu,kenapa beda2"
secconly1,dari jam 18.44 sampe 11.54 g1la kali yaaa
florel.property,DI BINJAI UTARA DARI JAM 18.45 SAMPAI DETIK INI BELOM IDOP LAMPU
moonica.aa,[Stiker] kan ak jd gak sllepcall
nanahsnh_,Kami belom hidup sama sekali😭
qiejiengsung,kalau telat bayar masyarakat apa bisa minta maaf juga?
jk_staychill,BARU IDUPP DI SUMUT😭
celsichaaa,gilak dari jam6 sore baru hidup jm 2 mlm😳
callmommythari,"Paaaaaak ini mati lampu lagi , brapa jam lagi ini pak😭😭"
ucii82606,"[Stiker] pak lampu mati wifi ku juga mati
ndk mau maapin 😭,tadi malam mati ini pagi mati lagi sampai sekarang belum hidup
pie to pak😭😭😭"
..no0_comentt,"besok bayar listrik pakek kata maaf bisa jugaa ya pak
biar adil"
checyl1aa,[Stiker] IDUPIN OY COWOKU NDK BISO KSI KABAR AKU NI LDR
linda.wati7744,Klw kita yng rugi siapa yng ganti ya😜😜😜😜
raannopp,apaan sekarang mati lampu lgi
r1zkyc,anak wifi apakabar?
ade_aja_ade,"ah gampang banget mintk maaf nya giliran bayr telat langsung dpat surat pemutusan
ngk adil banget pak"
emang_bowlehh1,mati lampu lagi woyy😭
mifhmiiii,"Cuma minta maaf doang ? begtu aja pola nya, buat salah - klarifikasi - minta maaf= Selesai"
4gatsya,weh sampe skrg belum hidup listrik di medan 😭
arkanaboy72,"minta maaf be, jualan es kmi cair galo.. berpikir pak.. apo gnti ruginyo"
petan1muda2,"sering sering aja pak,, soalnya dengan kejadian semalam saya baru merasakan arti sebuah keluarga dan persahabatan, karena begitu mati lampu kami duduk kumpul dan nyalain api unggun sambil ngobrol hingga tengah malam,, tdk ada yg megang HP karena tak ada baterai😂😂😂😂😂"
andoo_xd,"ganti duit guaa 58K PLN.
gara gara mati lampu gua nge cas di cafe"
bill18_7,"2024 mati lampu se lampung
2026 mati lampu se sumatra anjayyy😭"
baabangnaga,tapi sampe skrng belum nyaala bujangg
iinwirdananti,dari jam 7 malam sampe jam 12 siang baru hidup njir😭
itttaa879,"gak mau ah, telat bayar 1 hari aja langsung di putusin."
aidil.riau0,"Kalau Pelanggan :
1.Terlambat Membayar
2.Tidakbisa Membayar
Apa Bisa Diselesaikan Dengan Minta Maaf??
Harus Ada Kompensasi Dari Kejadian Ini!
#Dirutplnmundur"
fadhol.mohammad,"Ada gangguan cukup minta maaf, disisi lain jika pelanggan telat bayar, didenda atau putus listrik,,,, Piye to kiiii???"
m.padil.almulki,Udahlah mati lampu sinyal pun ga ada😭
lia_rusianaa,jangan kan tadi malam sekarang aja dah mati lampu ini makan pakai senter
